======================================================================
BLACKJACK STRATEGY COMPARISON
Testing 1000000 games per strategy
======================================================================

============================ 1 DECK GAME =============================
Hit<=i      Win Rate                         Profit            ROI
----------------------------------------------------------------------
  2          40.57%                -157067.50 units        -15.71%
  3          40.46%                -158880.50 units        -15.89%
  4          40.57%                -156880.00 units        -15.69%
  5          40.39%                -160307.00 units        -16.03%
  6          40.45%                -159219.50 units        -15.92%
  7          40.58%                -156368.00 units        -15.64%
  8          41.02%                -147689.00 units        -14.77%
  9          41.64%                -135298.50 units        -13.53%
  10         42.87%                -111467.00 units        -11.15%
  11         44.72%                 -76285.00 units         -7.63%
  12         45.27%                 -65254.50 units         -6.53%
  13         45.79%                 -55034.00 units         -5.50%
  14         45.94%                 -51611.50 units         -5.16%
  15         45.96%                 -50590.50 units         -5.06%
  16         45.62%                 -56354.00 units         -5.64%
  17         43.73%                 -92447.00 units         -9.24%
  18         39.10%                -180816.50 units        -18.08%
  19         31.16%                -335947.50 units        -33.59%
  20         16.43%                -640524.50 units        -64.05%

============================ 2 DECK GAME =============================
Hit<=i      Win Rate                         Profit            ROI
----------------------------------------------------------------------
  2          40.48%                -158581.00 units        -15.86%
  3          40.41%                -159895.00 units        -15.99%
  4          40.48%                -158645.50 units        -15.86%
  5          40.35%                -161369.50 units        -16.14%
  6          40.47%                -158685.00 units        -15.87%
  7          40.53%                -157243.50 units        -15.72%
  8          40.88%                -150258.50 units        -15.03%
  9          41.62%                -135832.00 units        -13.58%
  10         42.83%                -112171.50 units        -11.22%
  11         44.61%                 -78133.50 units         -7.81%
  12         45.18%                 -67021.50 units         -6.70%
  13         45.71%                 -56637.50 units         -5.66%
  14         45.87%                 -53165.00 units         -5.32%
  15         45.90%                 -51758.50 units         -5.18%
  16         45.64%                 -55904.00 units         -5.59%
  17         43.82%                 -90559.00 units         -9.06%
  18         39.12%                -180320.50 units        -18.03%
  19         31.23%                -334161.00 units        -33.42%
  20         16.34%                -642601.50 units        -64.26%

============================ 3 DECK GAME =============================
Hit<=i      Win Rate                         Profit            ROI
----------------------------------------------------------------------
  2          40.37%                -160734.00 units        -16.07%
  3          40.37%                -160625.00 units        -16.06%
  4          40.35%                -161240.00 units        -16.12%
  5          40.41%                -160055.50 units        -16.01%
  6          40.44%                -159188.50 units        -15.92%
  7          40.56%                -156701.50 units        -15.67%
  8          40.70%                -153908.50 units        -15.39%
  9          41.62%                -135498.50 units        -13.55%
  10         42.65%                -115568.00 units        -11.56%
  11         44.58%                 -79000.00 units         -7.90%
  12         45.09%                 -68948.00 units         -6.89%
  13         45.69%                 -57013.50 units         -5.70%
  14         45.92%                 -52090.00 units         -5.21%
  15         45.94%                 -51255.50 units         -5.13%
  16         45.62%                 -56294.50 units         -5.63%
  17         43.85%                 -90073.50 units         -9.01%
  18         39.13%                -180001.00 units        -18.00%
  19         31.23%                -334249.00 units        -33.42%
  20         16.34%                -642588.00 units        -64.26%

============================ 4 DECK GAME =============================
Hit<=i      Win Rate                         Profit            ROI
----------------------------------------------------------------------
  2          40.43%                -159570.00 units        -15.96%
  3          40.45%                -158976.00 units        -15.90%
  4          40.36%                -160759.50 units        -16.08%
